"","tiempo","cop_ml","cop_ap"
"1",0,0.0351101,-0.111493
"2",0.006,0.0351101,-0.111493
"3",0.016,0.0403762,-0.142483
"4",0.019,0.0403762,-0.142483
"5",0.039,0.0292838,-0.128953
"6",0.04,0.0526726,-0.108072
"7",0.056,0.0526726,-0.108072
"8",0.065,0.0240088,-0.101347
"9",0.069,0.0585824,-0.104704
"10",0.1,0.0144243,-0.127002
"11",0.119,0.0144243,-0.127002
"12",0.151,0.051564,-0.14579
"13",0.153,0.0810444,-0.124939
"14",0.175,0.0950724,-0.122981
"15",0.19,0.0832945,-0.126386
"16",0.205,0.0980407,-0.0968072
"17",0.221,0.0728518,-0.0991336
"18",0.238,0.115842,-0.0970495
"19",0.254,0.096339,-0.0505266
"20",0.269,0.096339,-0.0505266
"21",0.271,0.137484,-0.0193781
"22",0.287,0.0697881,0.0353086
"23",0.301,0.106815,0.0510979
"24",0.316,0.110531,0.087415
"25",0.331,0.110531,0.087415
"26",0.333,0.147939,0.0858325
"27",0.359,0.140202,0.125651
"28",0.363,0.154653,0.107029
"29",0.394,0.155264,0.0638705
"30",0.396,0.147122,0.0516808
"31",0.42,0.155175,0.00162899
"32",0.435,0.120476,-0.0158706
"33",0.451,0.146365,-0.0313193
"34",0.454,0.146365,-0.0313193
"35",0.469,0.111777,-0.0559375
"36",0.474,0.136879,-0.0536951
"37",0.499,0.132489,-0.107052
"38",0.505,0.132489,-0.107052
"39",0.52,0.166172,-0.116688
"40",0.528,0.157246,-0.142662
"41",0.545,0.117192,-0.150102
"42",0.56,0.160417,-0.155041
"43",0.575,0.160417,-0.155041
"44",0.58,0.139949,-0.160191
"45",0.595,0.134301,-0.146324
"46",0.6,0.134301,-0.146324
"47",0.615,0.117058,-0.136067
"48",0.619,0.117058,-0.136067
"49",0.653,0.108269,-0.144758
"50",0.654,0.111854,-0.139798
"51",0.658,0.132775,-0.117366
"52",0.678,0.111347,-0.125585
"53",0.688,0.149691,-0.113622
"54",0.703,0.149691,-0.113622
"55",0.718,0.109085,-0.134755
"56",0.719,0.095737,-0.102202
"57",0.734,0.095737,-0.102202
"58",0.775,0.0978023,-0.103627
"59",0.779,0.0697017,-0.0832799
"60",0.795,0.0995457,-0.0382555
"61",0.799,0.0914246,-0.0228372
"62",0.82,0.0923663,0.00449538
